Timestamp,Median Service Units Used
2025-03-28 06:13:17.898,4
2025-03-28 06:13:32.898,4
2025-03-28 06:13:47.898,4
2025-03-28 06:14:02.898,4
2025-03-28 06:14:17.898,4
2025-03-28 06:14:32.898,4
2025-03-28 06:14:47.898,4
2025-03-28 06:15:02.898,4
2025-03-28 06:15:17.898,4
2025-03-28 06:15:32.898,4
2025-03-28 06:15:47.898,4
2025-03-28 06:16:02.898,4
2025-03-28 06:16:17.898,4
2025-03-28 06:16:32.898,4
2025-03-28 06:16:47.898,4
2025-03-28 06:17:02.898,4
2025-03-28 06:17:17.898,4
2025-03-28 06:17:32.898,4
2025-03-28 06:17:47.898,4
2025-03-28 06:18:02.898,4
2025-03-28 06:18:17.898,4
2025-03-28 06:18:32.898,4
2025-03-28 06:18:47.898,4
2025-03-28 06:19:02.898,4
2025-03-28 06:19:17.898,4
2025-03-28 06:19:32.898,4
2025-03-28 06:19:47.898,4
2025-03-28 06:20:02.898,4
2025-03-28 06:20:17.898,4
2025-03-28 06:20:32.898,4
2025-03-28 06:20:47.898,4
2025-03-28 06:21:02.898,4
2025-03-28 06:21:17.898,4
2025-03-28 06:21:32.898,4
2025-03-28 06:21:47.898,4
2025-03-28 06:22:02.898,4
2025-03-28 06:22:17.898,4
2025-03-28 06:22:32.898,4
2025-03-28 06:22:47.898,4
2025-03-28 06:23:02.898,4
2025-03-28 06:23:17.898,4
2025-03-28 06:23:32.898,4
2025-03-28 06:23:47.898,4
2025-03-28 06:24:02.898,4
2025-03-28 06:24:17.898,4
2025-03-28 06:24:32.898,4
2025-03-28 06:24:47.898,4
2025-03-28 06:25:02.898,4
2025-03-28 06:25:17.898,4
2025-03-28 06:25:32.898,4
2025-03-28 06:25:47.898,4
2025-03-28 06:26:02.898,4
2025-03-28 06:26:17.898,4
2025-03-28 06:26:32.898,4
2025-03-28 06:26:47.898,4
2025-03-28 06:27:02.898,4
2025-03-28 06:27:17.898,4
2025-03-28 06:27:32.898,4
2025-03-28 06:27:47.898,4
2025-03-28 06:28:02.898,4
2025-03-28 06:28:17.898,4
2025-03-28 06:28:32.898,4
2025-03-28 06:28:47.898,4
2025-03-28 06:29:02.898,4
2025-03-28 06:29:17.898,4
2025-03-28 06:29:32.898,4
2025-03-28 06:29:47.898,4
2025-03-28 06:30:02.898,4
2025-03-28 06:30:17.898,4
2025-03-28 06:30:32.898,4
2025-03-28 06:30:47.898,4
2025-03-28 06:31:02.898,4
2025-03-28 06:31:17.898,4
2025-03-28 06:31:32.898,4
2025-03-28 06:31:47.898,4
2025-03-28 06:32:02.898,4
2025-03-28 06:32:17.898,4
2025-03-28 06:32:32.898,4
2025-03-28 06:32:47.898,4
2025-03-28 06:33:02.898,4
2025-03-28 06:33:17.898,4
2025-03-28 06:33:32.898,4
2025-03-28 06:33:47.898,4
2025-03-28 06:34:02.898,4
2025-03-28 06:34:17.898,4
2025-03-28 06:34:32.898,4
2025-03-28 06:34:47.898,4
2025-03-28 06:35:02.898,4
2025-03-28 06:35:17.898,4
2025-03-28 06:35:32.898,4
2025-03-28 06:35:47.898,4
2025-03-28 06:36:02.898,4
2025-03-28 06:36:17.898,4
2025-03-28 06:36:32.898,4
2025-03-28 06:36:47.898,4
2025-03-28 06:37:02.898,4
2025-03-28 06:37:17.898,4
2025-03-28 06:37:32.898,4
2025-03-28 06:37:47.898,4
2025-03-28 06:38:02.898,4
2025-03-28 06:38:17.898,4
2025-03-28 06:38:32.898,4
2025-03-28 06:38:47.898,4
2025-03-28 06:39:02.898,4
2025-03-28 06:39:17.898,4
2025-03-28 06:39:32.898,4
2025-03-28 06:39:47.898,4
2025-03-28 06:40:02.898,4
2025-03-28 06:40:17.898,4
2025-03-28 06:40:32.898,4
2025-03-28 06:40:47.898,4
2025-03-28 06:41:02.898,4
2025-03-28 06:41:17.898,4
2025-03-28 06:41:32.898,4
2025-03-28 06:41:47.898,4
2025-03-28 06:42:02.898,4
2025-03-28 06:42:17.898,4
2025-03-28 06:42:32.898,4
2025-03-28 06:42:47.898,4
2025-03-28 06:43:02.898,4
2025-03-28 06:43:17.898,4
2025-03-28 06:43:32.898,4
2025-03-28 06:43:47.898,4
2025-03-28 06:44:02.898,4
2025-03-28 06:44:17.898,4
2025-03-28 06:44:32.898,4
2025-03-28 06:44:47.898,4
2025-03-28 06:45:02.898,4
2025-03-28 06:45:17.898,4
2025-03-28 06:45:32.898,4
2025-03-28 06:45:47.898,4
2025-03-28 06:46:02.898,4
2025-03-28 06:46:17.898,4
2025-03-28 06:46:32.898,4
2025-03-28 06:46:47.898,4
2025-03-28 06:47:02.898,4
2025-03-28 06:47:17.898,4
2025-03-28 06:47:32.898,4
2025-03-28 06:47:47.898,4
2025-03-28 06:48:02.898,4
2025-03-28 06:48:17.898,4
2025-03-28 06:48:32.898,4
2025-03-28 06:48:47.898,4
2025-03-28 06:49:02.898,4
2025-03-28 06:49:17.898,4
2025-03-28 06:49:32.898,4
2025-03-28 06:49:47.898,4
2025-03-28 06:50:02.898,4
2025-03-28 06:50:17.898,4
2025-03-28 06:50:32.898,4
2025-03-28 06:50:47.898,4
2025-03-28 06:51:02.898,4
2025-03-28 06:51:17.898,4
2025-03-28 06:51:32.898,4
2025-03-28 06:51:47.898,4
2025-03-28 06:52:02.898,4
2025-03-28 06:52:17.898,4
2025-03-28 06:52:32.898,4
2025-03-28 06:52:47.898,4
2025-03-28 06:53:02.898,4
2025-03-28 06:53:17.898,4
2025-03-28 06:53:32.898,4
2025-03-28 06:53:47.898,4
2025-03-28 06:54:02.898,4
2025-03-28 06:54:17.898,4
2025-03-28 06:54:32.898,4
2025-03-28 06:54:47.898,4
2025-03-28 06:55:02.898,4
2025-03-28 06:55:32.898,4
2025-03-28 06:55:47.898,4
2025-03-28 06:56:02.898,4
2025-03-28 06:56:17.898,4
2025-03-28 06:56:32.898,4
2025-03-28 06:56:47.898,4
2025-03-28 06:57:02.898,4
2025-03-28 06:57:17.898,4
2025-03-28 06:57:32.898,4
2025-03-28 06:57:47.898,4
2025-03-28 06:58:02.898,4
2025-03-28 06:58:17.898,4
2025-03-28 06:58:32.898,4
2025-03-28 06:58:47.898,4
2025-03-28 06:59:02.898,4
2025-03-28 06:59:17.898,4
2025-03-28 06:59:32.898,4
2025-03-28 06:59:47.898,4
2025-03-28 07:00:02.898,4
2025-03-28 07:00:17.898,4
2025-03-28 07:00:32.898,4
2025-03-28 07:00:47.898,4
2025-03-28 07:01:02.898,4
2025-03-28 07:01:17.898,4
2025-03-28 07:01:32.898,4
2025-03-28 07:01:47.898,4
2025-03-28 07:02:02.898,4
2025-03-28 07:02:17.898,4
2025-03-28 07:02:32.898,4
2025-03-28 07:02:47.898,4
2025-03-28 07:03:02.898,4
2025-03-28 07:03:17.898,4
2025-03-28 07:03:32.898,4
2025-03-28 07:03:47.898,4
2025-03-28 07:04:02.898,4
2025-03-28 07:04:17.898,4
2025-03-28 07:04:32.898,4
2025-03-28 07:04:47.898,4
2025-03-28 07:05:02.898,4
2025-03-28 07:05:17.898,4
2025-03-28 07:05:32.898,4
2025-03-28 07:05:47.898,4
2025-03-28 07:06:02.898,4
2025-03-28 07:06:17.898,4
2025-03-28 07:06:32.898,4
2025-03-28 07:06:47.898,4
2025-03-28 07:07:02.898,4
2025-03-28 07:07:17.898,4
2025-03-28 07:07:32.898,4
2025-03-28 07:07:47.898,4
2025-03-28 07:08:17.898,4
2025-03-28 07:08:32.898,4
2025-03-28 07:08:47.898,4
2025-03-28 07:09:02.898,4
2025-03-28 07:09:17.898,4
2025-03-28 07:09:32.898,4
2025-03-28 07:09:47.898,4
2025-03-28 07:10:02.898,4
2025-03-28 07:10:17.898,4
2025-03-28 07:10:32.898,4
2025-03-28 07:10:47.898,4
2025-03-28 07:11:02.898,4
2025-03-28 07:11:17.898,4
2025-03-28 07:11:32.898,4
2025-03-28 07:11:47.898,4
2025-03-28 07:12:02.898,4
2025-03-28 07:12:17.898,4
2025-03-28 07:12:32.898,4
2025-03-28 07:12:47.898,4
2025-03-28 07:13:02.898,4
2025-03-28 07:13:17.898,4
2025-03-28 07:13:32.898,4
2025-03-28 07:13:47.898,4
2025-03-28 07:14:02.898,4
2025-03-28 07:14:17.898,4
2025-03-28 07:14:32.898,4
2025-03-28 07:14:47.898,4
2025-03-28 07:15:02.898,4
2025-03-28 07:15:17.898,4
2025-03-28 07:15:32.898,4
2025-03-28 07:15:47.898,4
2025-03-28 07:16:02.898,4
2025-03-28 07:16:17.898,4
2025-03-28 07:16:32.898,4
2025-03-28 07:16:47.898,4
2025-03-28 07:17:02.898,4
2025-03-28 07:17:17.898,4
2025-03-28 07:17:32.898,4
2025-03-28 07:17:47.898,4
2025-03-28 07:18:02.898,4
2025-03-28 07:18:17.898,4
2025-03-28 07:18:32.898,4
2025-03-28 07:18:47.898,4
2025-03-28 07:19:02.898,4
2025-03-28 07:19:17.898,4
2025-03-28 07:19:32.898,4
2025-03-28 07:19:47.898,4
2025-03-28 07:20:02.898,4
2025-03-28 07:20:17.898,4
2025-03-28 07:20:32.898,4
2025-03-28 07:20:47.898,4
2025-03-28 07:21:02.898,4
2025-03-28 07:21:17.898,4
2025-03-28 07:21:32.898,4
2025-03-28 07:21:47.898,4
2025-03-28 07:22:02.898,4
2025-03-28 07:22:17.898,4
2025-03-28 07:22:32.898,4
2025-03-28 07:22:47.898,4
2025-03-28 07:23:02.898,4
2025-03-28 07:23:17.898,4
2025-03-28 07:23:32.898,4
2025-03-28 07:23:47.898,4
2025-03-28 07:24:02.898,4
2025-03-28 07:24:17.898,4
2025-03-28 07:24:32.898,4
2025-03-28 07:24:47.898,4
2025-03-28 07:25:02.898,4
2025-03-28 07:25:17.898,4
2025-03-28 07:25:32.898,4
2025-03-28 07:25:47.898,4
2025-03-28 07:26:02.898,4
2025-03-28 07:26:17.898,4
2025-03-28 07:26:32.898,4
2025-03-28 07:26:47.898,4
2025-03-28 07:27:02.898,4
2025-03-28 07:27:17.898,4
2025-03-28 07:27:32.898,4
2025-03-28 07:27:47.898,4
2025-03-28 07:28:02.898,4
2025-03-28 07:28:17.898,4
2025-03-28 07:28:32.898,4
2025-03-28 07:28:47.898,4
2025-03-28 07:29:02.898,4
2025-03-28 07:29:17.898,4
2025-03-28 07:29:32.898,4
2025-03-28 07:29:47.898,4
2025-03-28 07:30:02.898,4
2025-03-28 07:30:17.898,4
2025-03-28 07:30:32.898,4
2025-03-28 07:30:47.898,4
2025-03-28 07:31:02.898,4
2025-03-28 07:31:17.898,4
2025-03-28 07:31:32.898,4
2025-03-28 07:31:47.898,4
2025-03-28 07:32:02.898,4
2025-03-28 07:32:17.898,4
