Timestamp,Service Units Used
2025-03-27 02:59:24.379,2
2025-03-27 02:59:39.379,2
2025-03-27 02:59:54.379,2
2025-03-27 03:00:09.379,2
2025-03-27 03:00:24.379,2
2025-03-27 03:00:39.379,2
2025-03-27 03:00:54.379,2
2025-03-27 03:01:09.379,2
2025-03-27 03:01:24.379,2
2025-03-27 03:01:39.379,2
2025-03-27 03:01:54.379,2
2025-03-27 03:02:09.379,2
2025-03-27 03:02:24.379,2
2025-03-27 03:02:39.379,3
2025-03-27 03:02:54.379,3
2025-03-27 03:03:09.379,3
2025-03-27 03:03:24.379,3
2025-03-27 03:03:39.379,3
2025-03-27 03:03:54.379,4
2025-03-27 03:04:09.379,4
2025-03-27 03:04:24.379,4
2025-03-27 03:04:39.379,4
2025-03-27 03:04:54.379,4
2025-03-27 03:05:09.379,4
2025-03-27 03:05:24.379,4
2025-03-27 03:05:39.379,4
2025-03-27 03:05:54.379,4
2025-03-27 03:06:09.379,4
2025-03-27 03:06:24.379,4
2025-03-27 03:06:39.379,4
2025-03-27 03:06:54.379,4
2025-03-27 03:07:09.379,4
2025-03-27 03:07:24.379,4
2025-03-27 03:07:39.379,4
2025-03-27 03:07:54.379,4
2025-03-27 03:08:09.379,4
2025-03-27 03:08:24.379,4
2025-03-27 03:08:39.379,3
2025-03-27 03:08:54.379,3
2025-03-27 03:09:09.379,3
2025-03-27 03:09:24.379,3
2025-03-27 03:09:39.379,3
2025-03-27 03:09:54.379,3
2025-03-27 03:10:09.379,3
2025-03-27 03:10:24.379,3
2025-03-27 03:10:39.379,3
2025-03-27 03:10:54.379,3
2025-03-27 03:11:09.379,3
2025-03-27 03:11:24.379,3
2025-03-27 03:11:39.379,3
2025-03-27 03:11:54.379,3
2025-03-27 03:12:09.379,3
2025-03-27 03:12:24.379,3
2025-03-27 03:12:39.379,3
2025-03-27 03:12:54.379,3
2025-03-27 03:13:09.379,3
2025-03-27 03:13:24.379,3
2025-03-27 03:13:39.379,4
2025-03-27 03:13:54.379,4
2025-03-27 03:14:09.379,4
2025-03-27 03:14:24.379,4
2025-03-27 03:14:39.379,4
2025-03-27 03:14:54.379,4
2025-03-27 03:15:09.379,4
2025-03-27 03:15:24.379,4
2025-03-27 03:15:39.379,4
2025-03-27 03:15:54.379,4
2025-03-27 03:16:09.379,4
2025-03-27 03:16:24.379,4
2025-03-27 03:16:39.379,4
2025-03-27 03:16:54.379,4
2025-03-27 03:17:09.379,4
2025-03-27 03:17:24.379,4
2025-03-27 03:17:39.379,4
2025-03-27 03:17:54.379,4
2025-03-27 03:18:09.379,3
2025-03-27 03:18:24.379,3
2025-03-27 03:18:39.379,3
2025-03-27 03:18:54.379,3
2025-03-27 03:19:09.379,3
2025-03-27 03:19:24.379,3
2025-03-27 03:19:39.379,2
2025-03-27 03:19:54.379,2
2025-03-27 03:20:09.379,2
2025-03-27 03:20:24.379,2
2025-03-27 03:20:39.379,2
2025-03-27 03:20:54.379,2
2025-03-27 03:21:09.379,2
2025-03-27 03:21:24.379,2
2025-03-27 03:21:39.379,2
2025-03-27 03:21:54.379,2
2025-03-27 03:22:09.379,2
2025-03-27 03:22:24.379,3
2025-03-27 03:22:39.379,3
2025-03-27 03:22:54.379,3
2025-03-27 03:23:09.379,3
2025-03-27 03:23:24.379,3
2025-03-27 03:23:39.379,3
2025-03-27 03:23:54.379,3
2025-03-27 03:24:09.379,4
2025-03-27 03:24:24.379,4
2025-03-27 03:24:39.379,4
2025-03-27 03:24:54.379,4
2025-03-27 03:25:09.379,4
2025-03-27 03:25:24.379,4
2025-03-27 03:25:39.379,4
2025-03-27 03:25:54.379,4
2025-03-27 03:26:09.379,4
2025-03-27 03:26:24.379,4
2025-03-27 03:26:39.379,4
2025-03-27 03:26:54.379,4
2025-03-27 03:27:09.379,4
2025-03-27 03:27:24.379,4
2025-03-27 03:27:39.379,4
2025-03-27 03:27:54.379,4
2025-03-27 03:28:09.379,3
2025-03-27 03:28:24.379,3
2025-03-27 03:28:39.379,3
2025-03-27 03:28:54.379,3
2025-03-27 03:29:09.379,3
2025-03-27 03:29:24.379,3
2025-03-27 03:29:39.379,2
2025-03-27 03:29:54.379,2
2025-03-27 03:30:09.379,2
2025-03-27 03:30:24.379,2
2025-03-27 03:30:39.379,2
2025-03-27 03:30:54.379,2
2025-03-27 03:31:09.379,2
2025-03-27 03:31:24.379,2
2025-03-27 03:31:39.379,2
2025-03-27 03:31:54.379,2
2025-03-27 03:32:09.379,2
2025-03-27 03:32:24.379,2
2025-03-27 03:32:39.379,3
2025-03-27 03:32:54.379,3
2025-03-27 03:33:09.379,3
2025-03-27 03:33:24.379,3
2025-03-27 03:33:39.379,3
2025-03-27 03:33:54.379,3
2025-03-27 03:34:09.379,4
2025-03-27 03:34:24.379,4
2025-03-27 03:34:39.379,4
2025-03-27 03:34:54.379,4
2025-03-27 03:35:09.379,4
2025-03-27 03:35:24.379,4
2025-03-27 03:35:39.379,4
2025-03-27 03:35:54.379,4
2025-03-27 03:36:09.379,4
2025-03-27 03:36:24.379,4
2025-03-27 03:36:39.379,4
2025-03-27 03:36:54.379,4
2025-03-27 03:37:09.379,4
2025-03-27 03:37:24.379,4
2025-03-27 03:37:39.379,4
2025-03-27 03:37:54.379,4
2025-03-27 03:38:09.379,3
2025-03-27 03:38:24.379,3
2025-03-27 03:38:39.379,3
2025-03-27 03:38:54.379,3
2025-03-27 03:39:09.379,3
2025-03-27 03:39:24.379,2
2025-03-27 03:39:39.379,2
2025-03-27 03:39:54.379,2
2025-03-27 03:40:09.379,2
2025-03-27 03:40:24.379,2
2025-03-27 03:40:39.379,2
2025-03-27 03:40:54.379,2
2025-03-27 03:41:09.379,2
2025-03-27 03:41:24.379,2
2025-03-27 03:41:39.379,2
2025-03-27 03:41:54.379,2
2025-03-27 03:42:09.379,2
2025-03-27 03:42:24.379,2
2025-03-27 03:42:39.379,3
2025-03-27 03:42:54.379,3
2025-03-27 03:43:09.379,3
2025-03-27 03:43:24.379,3
2025-03-27 03:43:39.379,3
2025-03-27 03:43:54.379,3
2025-03-27 03:44:09.379,4
2025-03-27 03:44:24.379,4
2025-03-27 03:44:39.379,4
2025-03-27 03:44:54.379,4
2025-03-27 03:45:09.379,4
2025-03-27 03:45:24.379,4
2025-03-27 03:45:39.379,4
2025-03-27 03:45:54.379,4
2025-03-27 03:46:09.379,4
2025-03-27 03:46:24.379,4
2025-03-27 03:46:39.379,4
2025-03-27 03:46:54.379,4
2025-03-27 03:47:09.379,4
2025-03-27 03:47:24.379,4
2025-03-27 03:47:39.379,4
2025-03-27 03:47:54.379,3
2025-03-27 03:48:09.379,3
2025-03-27 03:48:24.379,3
2025-03-27 03:48:39.379,3
2025-03-27 03:48:54.379,3
2025-03-27 03:49:09.379,3
2025-03-27 03:49:24.379,2
2025-03-27 03:49:39.379,2
2025-03-27 03:49:54.379,2
2025-03-27 03:50:09.379,2
2025-03-27 03:50:24.379,2
2025-03-27 03:50:39.379,2
2025-03-27 03:50:54.379,2
2025-03-27 03:51:09.379,2
2025-03-27 03:51:24.379,2
2025-03-27 03:51:39.379,2
