Timestamp,Service Units Used
2025-01-20 23:50:21.493,1
2025-01-20 23:50:36.493,1
2025-01-20 23:50:51.493,1
2025-01-20 23:51:06.493,2
2025-01-20 23:51:21.493,2
2025-01-20 23:51:36.493,3
2025-01-20 23:51:51.493,3
2025-01-20 23:52:06.493,4
2025-01-20 23:52:21.493,5
2025-01-20 23:52:36.493,6
2025-01-20 23:52:51.493,6
2025-01-20 23:53:06.493,7
2025-01-20 23:53:21.493,8
2025-01-20 23:53:36.493,8
2025-01-20 23:53:51.493,9
2025-01-20 23:54:06.493,10
2025-01-20 23:54:21.493,11
2025-01-20 23:54:36.493,11
2025-01-20 23:54:51.493,12
2025-01-20 23:55:06.493,13
2025-01-20 23:55:21.493,14
2025-01-20 23:55:36.493,13
2025-01-20 23:55:51.493,13
2025-01-20 23:56:06.493,14
2025-01-20 23:56:21.493,13
2025-01-20 23:56:36.493,13
2025-01-20 23:56:51.493,13
2025-01-20 23:57:06.493,14
2025-01-20 23:57:21.493,14
2025-01-20 23:57:36.493,13
2025-01-20 23:57:51.493,14
2025-01-20 23:58:06.493,14
2025-01-20 23:58:21.493,14
2025-01-20 23:58:36.493,14
2025-01-20 23:58:51.493,14
2025-01-20 23:59:06.493,14
2025-01-20 23:59:21.493,14
2025-01-20 23:59:36.493,14
2025-01-20 23:59:51.493,13
2025-01-21 00:00:06.493,13
2025-01-21 00:00:21.493,14
2025-01-21 00:00:36.493,14
2025-01-21 00:00:51.493,14
2025-01-21 00:01:06.493,14
2025-01-21 00:01:21.493,14
2025-01-21 00:01:36.493,14
2025-01-21 00:01:51.493,14
2025-01-21 00:02:06.493,14
2025-01-21 00:02:21.493,13
2025-01-21 00:02:36.493,13
2025-01-21 00:02:51.493,13
2025-01-21 00:03:06.493,12
2025-01-21 00:03:21.493,12
2025-01-21 00:03:36.493,11
2025-01-21 00:03:51.493,12
2025-01-21 00:04:06.493,12
2025-01-21 00:04:21.493,12
2025-01-21 00:04:36.493,12
2025-01-21 00:04:51.493,12
2025-01-21 00:05:06.493,12
2025-01-21 00:05:21.493,12
2025-01-21 00:05:36.493,11
2025-01-21 00:05:51.493,12
2025-01-21 00:06:06.493,12
2025-01-21 00:06:21.493,13
2025-01-21 00:06:36.493,13
2025-01-21 00:06:51.493,13
2025-01-21 00:07:06.493,13
2025-01-21 00:07:21.493,13
2025-01-21 00:07:36.493,13
2025-01-21 00:07:51.493,13
2025-01-21 00:08:06.493,13
2025-01-21 00:08:21.493,13
2025-01-21 00:08:36.493,13
2025-01-21 00:08:51.493,13
2025-01-21 00:09:06.493,12
2025-01-21 00:09:21.493,12
2025-01-21 00:09:36.493,12
2025-01-21 00:09:51.493,13
2025-01-21 00:10:06.493,13
2025-01-21 00:10:21.493,13
2025-01-21 00:10:36.493,13
2025-01-21 00:10:51.493,12
2025-01-21 00:11:06.493,11
2025-01-21 00:11:21.493,11
2025-01-21 00:11:36.493,12
2025-01-21 00:11:51.493,11
2025-01-21 00:12:06.493,11
2025-01-21 00:12:21.493,11
2025-01-21 00:12:36.493,12
2025-01-21 00:12:51.493,12
2025-01-21 00:13:06.493,12
2025-01-21 00:13:21.493,12
2025-01-21 00:13:36.493,12
2025-01-21 00:13:51.493,12
2025-01-21 00:14:06.493,12
2025-01-21 00:14:21.493,12
2025-01-21 00:14:36.493,12
2025-01-21 00:14:51.493,12
2025-01-21 00:15:06.493,12
2025-01-21 00:15:21.493,12
2025-01-21 00:15:36.493,13
2025-01-21 00:15:51.493,14
2025-01-21 00:16:06.493,13
2025-01-21 00:16:21.493,13
2025-01-21 00:16:36.493,13
2025-01-21 00:16:51.493,14
2025-01-21 00:17:06.493,14
2025-01-21 00:17:21.493,14
2025-01-21 00:17:36.493,14
2025-01-21 00:17:51.493,14
2025-01-21 00:18:06.493,14
2025-01-21 00:18:21.493,14
2025-01-21 00:18:36.493,14
2025-01-21 00:18:51.493,13
2025-01-21 00:19:06.493,13
2025-01-21 00:19:21.493,13
2025-01-21 00:19:36.493,14
2025-01-21 00:19:51.493,14
2025-01-21 00:20:06.493,13
2025-01-21 00:20:21.493,13
2025-01-21 00:20:36.493,13
2025-01-21 00:20:51.493,13
2025-01-21 00:21:06.493,13
2025-01-21 00:21:21.493,12
2025-01-21 00:21:36.493,12
2025-01-21 00:21:51.493,11
2025-01-21 00:22:06.493,12
2025-01-21 00:22:21.493,11
2025-01-21 00:22:36.493,11
2025-01-21 00:22:51.493,11
2025-01-21 00:23:06.493,11
2025-01-21 00:23:21.493,12
